trade_date,close,volatility,adx,plus_di,minus_di,width,regime
2022-01-04,4917.7653,,,,,50.0,-1.0
2022-01-05,4868.1202,,,,,50.0,-1.0
2022-01-06,4818.2318,,,,,50.0,-1.0
2022-01-07,4822.3689,,,,,50.0,-1.0
2022-01-10,4844.0451,,,,,50.0,-1.0
2022-01-11,4797.7735,,,,,50.0,-1.0
2022-01-12,4845.5787,,,,,50.0,-1.0
2022-01-13,4765.9191,,,,,50.0,-1.0
2022-01-14,4726.7317,,,,,50.0,-1.0
2022-01-17,4767.2762,,,,,50.0,-1.0
2022-01-18,4813.3472,,,,,50.0,-1.0
2022-01-19,4780.3784,,,,,50.0,-1.0
2022-01-20,4823.5091,,,,,50.0,-1.0
2022-01-21,4779.3142,,,9.830754533574975,25.04228026400998,50.0,-1.0
2022-01-24,4786.7377,,,10.192884825031504,27.80446681849063,50.0,-1.0
2022-01-25,4678.4511,,,9.719048284048808,31.480824974908273,50.0,-1.0
2022-01-26,4712.3109,,,9.83488540843797,27.953454929316297,50.0,-1.0
2022-01-27,4619.8765,,,9.246005575279865,29.603719393663315,50.0,-1.0
2022-01-28,4563.772,,,8.903837553267463,30.384862183829032,50.0,-1.0
2022-02-07,4634.0899,,,9.018431552175752,28.94494814137069,50.0,-1.0
2022-02-08,4608.7729,0.17462336961141328,,8.390847750810439,35.80762735506986,32.142857142857146,-1.0
2022-02-09,4652.0609,0.17805792488208588,,11.615218448081851,32.380362836443894,42.857142857142854,-1.0
2022-02-10,4639.8625,0.17553019788672683,,11.5392931379235,28.38983783627482,39.285714285714285,-1.0
2022-02-11,4601.3953,0.17667489732296038,,10.343572827274492,29.024445847883275,42.857142857142854,-1.0
2022-02-14,4551.6878,0.1772343800971419,,5.7845436034081485,35.17117651763467,39.285714285714285,-1.0
2022-02-15,4600.1025,0.18183676881214383,,6.39780040523913,35.8833615216555,39.285714285714285,-1.0
2022-02-16,4617.9893,0.17775055710250687,53.677448789728274,8.946590010153296,36.71247444543885,41.37931034482759,-1.0
2022-02-17,4629.1649,0.17036589670302738,54.64629437334992,9.777952743488195,35.89588651298348,31.03448275862069,-1.0
2022-02-18,4651.2358,0.16970490287286982,55.37265735616726,9.791213888171798,35.245098100576136,44.827586206896555,-1.0
